City,Country,Date,Humidity,Cloudiness,Lat,Lng,Max Temp,Wind Speed
greenville,US,2020-01-26 09:07:19,56.0,1.0,35.61,-77.37,48.2,6.93
adrar,MR,2020-01-26 09:07:19,13.0,96.0,20.5,-10.07,86.52,12.28
ushuaia,AR,2020-01-26 09:05:55,81.0,75.0,-54.8,-68.3,46.4,24.16
port elizabeth,ZA,2020-01-26 09:05:17,63.0,91.0,-33.92,25.57,66.2,34.45
busselton,AU,2020-01-26 09:07:20,37.0,0.0,-33.65,115.33,73.99,12.08
havoysund,NO,2020-01-26 09:07:20,78.0,40.0,71.0,24.66,17.6,10.29
tessalit,ML,2020-01-26 09:07:20,6.0,53.0,20.2,1.01,90.41,0.96
barrow,US,2020-01-26 09:07:20,74.0,1.0,71.29,-156.79,-22.0,8.05
ribeira grande,PT,2020-01-26 09:07:20,93.0,75.0,38.52,-28.7,60.8,14.99
punta arenas,CL,2020-01-26 09:04:08,54.0,20.0,-53.15,-70.92,57.0,42.5
saint-francois,FR,2020-01-26 09:07:20,76.0,94.0,46.42,3.91,48.99,3.36
margate,GB,2020-01-26 09:07:21,81.0,75.0,51.38,1.39,50.0,14.99
rikitea,PF,2020-01-26 09:07:21,78.0,94.0,-23.12,-134.97,79.16,14.63
georgetown,MY,2020-01-26 09:07:21,74.0,20.0,5.41,100.34,84.2,5.82
hermanus,ZA,2020-01-26 09:07:22,65.0,0.0,-34.42,19.23,69.01,4.0
keningau,MY,2020-01-26 09:07:22,88.0,75.0,5.34,116.16,82.4,4.7
tasiilaq,GL,2020-01-26 09:07:23,53.0,75.0,65.61,-37.64,32.0,12.75
makurdi,NG,2020-01-26 09:07:23,6.0,0.0,7.74,8.51,98.42,7.31
cape town,ZA,2020-01-26 09:04:19,49.0,40.0,-33.93,18.42,70.0,19.46
turayf,SA,2020-01-26 09:07:23,65.0,0.0,31.67,38.66,46.4,5.82
kapaa,US,2020-01-26 09:07:23,88.0,40.0,22.08,-159.32,73.4,8.05
big spring,US,2020-01-26 09:07:23,75.0,1.0,32.25,-101.48,44.6,4.7
lac du bonnet,CA,2020-01-26 09:07:23,98.0,76.0,50.25,-96.06,19.99,4.0
zwedru,LR,2020-01-26 09:07:24,18.0,0.0,6.07,-8.13,97.92,5.48
aswan,EG,2020-01-26 09:07:24,23.0,0.0,24.09,32.91,70.88,9.13
iwanai,JP,2020-01-26 09:07:24,72.0,100.0,42.97,140.51,26.58,15.93
bluff,NZ,2020-01-26 09:07:24,90.0,4.0,-46.6,168.33,53.01,1.01
cururupu,BR,2020-01-26 09:07:24,73.0,100.0,-1.83,-44.87,86.59,4.68
mar del plata,AR,2020-01-26 09:05:22,24.0,100.0,-38.0,-57.56,91.99,9.17
kpandae,GH,2020-01-26 09:07:25,4.0,40.0,8.47,-0.01,100.04,4.47
culaman,PH,2020-01-26 09:07:25,92.0,6.0,5.96,125.66,68.36,1.61
